AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,ResponseId,study
52,Female,Higher,White,33,10,33,English,R_2ziQDIhw0N741Q0,PSYC304.rw
47,Male,Higher,White,38,11,51,English,R_BqYEoYqhtRp49bj,PSYC304.rw
40,Female,Higher,White,34,10,56,English,R_3J9Pl9zFnQCAMLt,PSYC304.rw
36,Female,Higher,White,29,12,52,English,R_3nq4SUA6haI1zqi,PSYC304.rw
53,Female,Higher,White,37,10,49,English,R_TaZGaBZYeHznAKB,PSYC304.rw
50,Female,Higher,White,33,9,46,English,R_2rwQuvTvY3lJQyz,PSYC304.rw
66,Female,Higher,White,40,10,58,English,R_3ezcHuRZtqlha1K,PSYC304.rw
25,Male,Higher,White,35,9,43,English,R_R3TCWzD1waAbaSd,PSYC304.rw
49,Female,Higher,White,37,9,39,English,R_2YLY9PGlWy86w0Y,PSYC304.rw
41,Female,Higher,White,31,11,54,English,R_DCS5Bihl2SOcAEN,PSYC304.rw
40,Female,Higher,White,37,10,57,English,R_VUo8riAhXDGEWfD,PSYC304.rw
