ResponseId,mean.acc,mean.self,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,study
R_2tLK2jAvsxZCzRU,0.85,7.8,22,Male,Higher,Asian,37,8,47,Other,PSYC304.jg
R_3Of6hozjY1TgeMn,0.95,5.8,18,Female,Further,White,23,10,42,English,PSYC304.jg
R_2BgQOs9o32dXcoX,0.85,4.8,19,Female,Further,White,32,8,41,English,PSYC304.jg
R_pFN3f2NeynD090Z,0.9,8,18,Female,Further,White,37,11,59,English,PSYC304.jg
R_1cRLhPhR5HEiTTk,0.6,5,19,Female,Further,White,26,6,42,English,PSYC304.jg
R_2aWEZTzX0r4lk1H,0.65,8,19,Female,Further,Asian,34,7,45,English,PSYC304.jg
R_1CBcemqHcgCbvLr,0.8,6.6,18,Female,Further,Mixed,28,8,45,English,PSYC304.jg
R_soQ6Evaz27CO169,0.9,8.2,46,Female,Higher,White,39,12,60,English,PSYC304.jg
R_bxDT9RyCsYL614R,0.8,7,49,Female,Higher,White,39,12,56,English,PSYC304.jg
R_28SbiuuVWcKMOiH,0.8,6.8,18,Female,Further,White,34,8,40,English,PSYC304.jg
R_1DVkXLc0vyqN4Gp,0.7,6.8,18,Male,Further,Asian,34,5,48,English,PSYC304.jg
R_2b1wbJ0vorEmzjp,0.9,8,19,Female,Further,White,36,13,53,English,PSYC304.jg
R_2CHdn1XRd0gpMoH,0.95,7.2,19,Female,Further,White,33,9,45,English,PSYC304.jg
R_3sBs5Gp3ntqLdkW,0.95,7,18,Female,Further,White,35,11,51,English,PSYC304.jg
R_3oGbCmebT55JkIa,0.5,7.2,19,Female,Further,White,24,4,46,English,PSYC304.jg
R_1N4zIzAyzUnEjG1,0.8,6,21,Male,Further,White,34,10,58,English,PSYC304.jg
R_31N5cED0r5BsrKf,0.9,8,19,Female,Higher,White,34,9,43,English,PSYC304.jg
R_1cSA2ZDK92om024,0.85,8.8,54,Female,Higher,White,40,11,63,English,PSYC304.jg
R_37xIVjWBCqkCX73,0.95,6.6,43,Female,Further,White,33,8,57,English,PSYC304.jg
